equipment,header_1,header_2,header_3,equipment_model,product_url
Boom Lifts,Articulating,Electric & Hybrid,E300 Series,E300AJP,https://www.jlg.com/en/equipment/boom-lifts/articulating/electric-hybrid/e300-series/e300ajp
Boom Lifts,Articulating,Electric & Hybrid,E400 Series,E400AJPN,https://www.jlg.com/en/equipment/boom-lifts/articulating/electric-hybrid/e400-series/e400ajpn
Boom Lifts,Articulating,Electric & Hybrid,E400 Series,E400AN,https://www.jlg.com/en/equipment/boom-lifts/articulating/electric-hybrid/e400-series/e400an
Boom Lifts,Articulating,Electric & Hybrid,E450 Series,E450AJ,https://www.jlg.com/en/equipment/boom-lifts/articulating/electric-hybrid/e450-series/e450aj
Boom Lifts,Articulating,Engine Powered,450 Series,450AJ,https://www.jlg.com/en/equipment/boom-lifts/articulating/engine-powered/450-series/450aj
Boom Lifts,Articulating,Engine Powered,450 Series,450AJ HC3,https://www.jlg.com/en/equipment/boom-lifts/articulating/engine-powered/450-series/450aj-hc3
Boom Lifts,Articulating,Engine Powered,600 Series,600AJ,https://www.jlg.com/en/equipment/boom-lifts/articulating/engine-powered/600-series/600aj
Boom Lifts,Articulating,Engine Powered,600 Series,600AJ HC3,https://www.jlg.com/en/equipment/boom-lifts/articulating/engine-powered/600-series/600aj-hc3
Boom Lifts,Articulating,Engine Powered,800 Series,800AJ,https://www.jlg.com/en/equipment/boom-lifts/articulating/engine-powered/800-series/800aj
Boom Lifts,Articulating,Engine Powered,800 Series,800AJ HC3,https://www.jlg.com/en/equipment/boom-lifts/articulating/engine-powered/800-series/800aj-hc3
Boom Lifts,Articulating,Engine Powered,Ultra Series,1250AJP,https://www.jlg.com/en/equipment/boom-lifts/articulating/engine-powered/ultra-series/1250ajp
Boom Lifts,Articulating,Engine Powered,Ultra Series,1500AJP,https://www.jlg.com/en/equipment/boom-lifts/articulating/engine-powered/ultra-series/1500ajp
Boom Lifts,Telescopic,Electric & Hybrid,EC600 and H600 Series,EC600SJ,https://www.jlg.com/en/equipment/boom-lifts/telescopic/electric-hybrid/ec600-and-h600-series/ec600sj
Boom Lifts,Telescopic,Electric & Hybrid,EC600 and H600 Series,EC600SJP,https://www.jlg.com/en/equipment/boom-lifts/telescopic/electric-hybrid/ec600-and-h600-series/ec600sjp
Boom Lifts,Telescopic,Electric & Hybrid,EC600 and H600 Series,H600SJ,https://www.jlg.com/en/equipment/boom-lifts/telescopic/electric-hybrid/ec600-and-h600-series/h600sj
Boom Lifts,Telescopic,Electric & Hybrid,EC600 and H600 Series,H600SJP,https://www.jlg.com/en/equipment/boom-lifts/telescopic/electric-hybrid/ec600-and-h600-series/h600sjp
Boom Lifts,Telescopic,Engine Powered,400 Crawler Series,460SJC,https://www.jlg.com/en/equipment/boom-lifts/telescopic/engine-powered/400-crawler-series/460sjc
Boom Lifts,Telescopic,Engine Powered,400 Series,400S,https://www.jlg.com/en/equipment/boom-lifts/telescopic/engine-powered/400-series/400s
Boom Lifts,Telescopic,Engine Powered,400 Series,400S HC3,https://www.jlg.com/en/equipment/boom-lifts/telescopic/engine-powered/400-series/400s-hc3
Boom Lifts,Telescopic,Engine Powered,400 Series,460SJ,https://www.jlg.com/en/equipment/boom-lifts/telescopic/engine-powered/400-series/460sj
Boom Lifts,Telescopic,Engine Powered,400 Series,460SJ HC3,https://www.jlg.com/en/equipment/boom-lifts/telescopic/engine-powered/400-series/460sj-hc3
Boom Lifts,Telescopic,Engine Powered,600 Crawler Series,660SJC,https://www.jlg.com/en/equipment/boom-lifts/telescopic/engine-powered/600-crawler-series/660sjc
Boom Lifts,Telescopic,Engine Powered,600 Series,600S,https://www.jlg.com/en/equipment/boom-lifts/telescopic/engine-powered/600-series/600s
Boom Lifts,Telescopic,Engine Powered,600 Series,600S HC3,https://www.jlg.com/en/equipment/boom-lifts/telescopic/engine-powered/600-series/600s-hc3
